name,latitude,longitude,TSR,total products,product names,Core Publisher,Composer Pro,Springboard Donation Forms
WLPR-FM,41.470199,-87.321491,329684,2,"Live Streaming, Coaching & Development Webinars",0,0,0
KUWR-FM,41.312507,-105.585578,3087571,31,"Analytics Service: Google Premium, Analytics, Core Publisher, Quick Pledge, Pulse, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Distribution: iTunes Radio, MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Chartbeat, Live Streaming, Coaching & Development Conference, Springboard Donation Forms, Distribution: Connected Platforms, Distribution Streaming, Exact Target Email Marketing, NPR Music Video Platform, Schedule and stream API, NPR Music Training, NPR Music Content, Station Connect API, Distribution: NPR.org and apps, Distribution: NPR One app, MSA > Music Bundle",1,1,1
WNPR-FM,41.307379,-72.925013,6105145,10,"Live Streaming, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference",1,0,0
WVIA-FM,41.29725,-75.748778,1287235,5,"Live Streaming, Composer Pro, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2",0,1,0
KIOS-FM,41.26447,-95.964754,1220467,14,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Pulse, Live Streaming, Composer Pro, Events, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Springboard Donation Forms",1,1,1
WSHU-FM,41.188065,-73.239866,4536013,9,"Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Sound Exchange Reporting",1,0,0
WKSU-FM,41.15375,-81.35127,5422844,14,"Analytics Service: Google Premium, Analytics, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, Coaching & Development Conference, Distribution: iTunes Radio, MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Chartbeat, Core Publisher, Sound Exchange Reporting, Composer 2, Live Streaming",1,0,0
WBNI-FM,41.13,-85.13,1004561,10,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Composer Pro, Events, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars",1,1,0
WYSU-FM,41.107856,-80.645871,1351462,5,"Analytics, Composer Pro, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars",0,1,0
KHSU-FM,40.880537,-124.087475,1273296,3,"Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars",0,0,0
WPPB-FM,40.88,-72.39,905770,11,"Live Streaming, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Springboard Donation Forms",1,1,1
WFUV-FM,40.862179,-73.88601,7616198,8,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Composer Pro, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars",0,1,0
KUCV-FM,40.821653,-96.669158,1763147,6,"Analytics, Live Streaming, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, Coaching & Development Conference, Composer 2",0,0,0
WPSU-FM,40.808408,-77.863883,1300708,26,"MSA > News Bundle, Story API, NPR News Content & Marks, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, NPR Music Video Platform, Distribution: NPR One app, Distribution: NPR.org and apps, Station Connect API, Distribution Streaming, MSA > Music Bundle, Springboard Donation Forms, Schedule and stream API, Exact Target Email Marketing, Distribution: Connected Platforms, NPR Music Content, NPR Music Training, Distribution: iTunes Radio, Events",1,0,1
KUER-FM,40.76522,-111.841954,3626247,29,"MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Composer Pro, Coaching & Development Conference, NPR Music Video Platform, Station Connect API, Springboard Donation Forms, Distribution: Connected Platforms, Distribution: NPR.org and apps, Distribution Streaming, Exact Target Email Marketing, NPR Music Content, NPR Music Training, MSA > Music Bundle, Schedule and stream API, Distribution: NPR One app, Distribution: iTunes Radio",1,1,1
WBGO-FM,40.735075,-74.173906,4799057,4,"Analytics, Sound Exchange Reporting, Coaching & Development Webinars, Analytics Service: Triton Webcast Metrics",0,0,0
WNYC-FM,40.721786,-74.009447,53388267,5,"Coaching & Development Conference, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, Distribution: iTunes Radio",0,0,0
WCBU-FM,40.696444,-89.616008,1159288,5,"Analytics, Core Publisher, Composer Pro, Events, Mobile Site",1,1,0
KPCW-FM,40.636545,-111.499133,898141,12,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Springboard Donation Forms",1,1,1
WDIY-FM,40.59677,-75.376195,691265,11,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars",1,1,0
WGLT-FM,40.510264,-88.997958,1445464,9,"Analytics Service: Google Premium, Analytics, Quick Pledge, Pulse, Composer Pro, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, Distribution: NPR One app, Springboard Donation Forms",0,1,1
WBAA-FM,40.440178,-86.926101,1793269,12,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Pulse, Live Streaming, Composer Pro, Events, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars",1,1,0
WIUM-FM,40.429497,-90.63937,1478121,19,"Story API, MSA > News Bundle, NPR News Content & Marks, Quick Pledge, Pulse, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Composer Pro, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Distribution: iTunes Radio, Springboard Donation Forms",1,1,1
WESA-FM,40.429303,-79.972424,2762039,19,"Quick Pledge, Composer Pro, Events, Mobile Site, Story API, MSA > News Bundle, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Distribution: iTunes Radio, Springboard Donation Forms",1,1,1
WYEP-FM,40.429303,-79.972424,1568993,8,"Analytics, Quick Pledge, Pulse, Composer Pro, Sound Exchange Reporting, Composer 2, Coaching & Development Webinars, Springboard Donation Forms",0,1,1
KUNC-FM,40.396264,-104.7871,2785628,28,"Analytics Service: Google Premium, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Analytics, Composer Pro, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Distribution Streaming, NPR Music Content, Exact Target Email Marketing, Schedule and stream API, Distribution: Connected Platforms, Distribution: NPR.org and apps, MSA > Music Bundle, NPR Music Training, NPR Music Video Platform, Station Connect API, Springboard Donation Forms, MSA > News Bundle, Story API, NPR News Content & Marks, Distribution: iTunes Radio, Distribution: NPR One app",1,1,1
KXCV-FM,40.349238,-94.872809,811871,1,Analytics Service: Triton Webcast Metrics,0,0,0
WBJB-FM,40.334482,-74.129868,688111,1,Analytics Service: Triton Webcast Metrics,0,0,0
WITF-FM,40.27008,-76.791356,2035687,5,"Analytics, Analytics Service: Chartbeat, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars",0,0,0
WWFM-FM,40.227683,-74.657609,2223058,5,"Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars",0,1,0
WBST-FM,40.198463,-85.413696,1271995,3,"Analytics, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars",0,0,0
WILL-FM,40.105923,-88.212031,4502492,5,"Analytics Service: Google Premium, Analytics, Composer Pro, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars",0,1,0
WOSU-FM,39.999063,-83.017339,3072723,5,"Composer 2, Coaching & Development Webinars, Composer Pro, Coaching & Development Conference, Distribution: NPR One app",0,1,0
WRTI-FM,39.984092,-75.180804,4528500,13,"Analytics Service: Triton Webcast Metrics, Mobile Site, Coaching & Development Webinars, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Pulse, Live Streaming, Composer Pro, Sound Exchange Reporting, Springboard Donation Forms",1,1,1
WCBE-FM,39.96026,-83.00928,1549575,28,"MSA > News Bundle, Story API, NPR News Content & Marks, Live Streaming, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Distribution Streaming, Station Connect API, Distribution: NPR.org and apps, Distribution: NPR One app, NPR Music Training, MSA > Music Bundle, NPR Music Video Platform, Distribution: Connected Platforms, Exact Target Email Marketing, Schedule and stream API, NPR Music Content, Springboard Donation Forms, Distribution: iTunes Radio",1,1,1
WXPN-FM,39.958359,-75.195393,8286154,28,"MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Pulse, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Live Streaming, Exact Target Email Marketing, Distribution Streaming, Schedule and stream API, Distribution: Connected Platforms, Station Connect API, NPR Music Training, NPR Music Video Platform, MSA > Music Bundle, Distribution: NPR One app, Distribution: NPR.org and apps, NPR Music Content, Distribution: iTunes Radio, Springboard Donation Forms",1,0,1
WHYY-FM,39.94938,-75.145782,9677833,15,"NPR News Content & Marks, Story API, MSA > News Bundle, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Analytics Service: Google Premium, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, Coaching & Development Conference, Composer 2, Distribution: iTunes Radio, Distribution: NPR One app",1,0,0
WYSO-FM,39.801194,-83.910897,1829710,19,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Live Streaming, Composer Pro, Events, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, MSA > News Bundle, Story API, NPR News Content & Marks, Sound Exchange Reporting, Coaching & Development Conference, Distribution: iTunes Radio, Springboard Donation Forms",1,1,1
WFYI-FM,39.779477,-86.170089,4025269,23,"Story API, MSA > News Bundle, NPR News Content & Marks, Core Publisher, Composer Pro, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Springboard Donation Forms, Station Connect API, Distribution Streaming, NPR Music Training, NPR Music Video Platform, Distribution: NPR One app, Distribution: NPR.org and apps, Schedule and stream API, MSA > Music Bundle, Distribution: Connected Platforms, Exact Target Email Marketing, NPR Music Content, Distribution: iTunes Radio",1,1,1
WUIS-FM,39.764682,-89.63458,1935722,12,"Distribution: iTunes Radio, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Composer Pro, Events, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Coaching & Development Conference",1,1,0
KUVO-FM,39.75,-104.99,693102,9,"Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Composer Pro, Events, Sound Exchange Reporting, Composer 2, Springboard Donation Forms",1,1,1
KCHO-FM,39.735769,-121.850446,1435928,5,"Live Streaming, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, Springboard Donation Forms",0,0,1
WCSU-FM,39.706042,-83.883082,703694,29,"MSA > News Bundle, Story API, NPR News Content & Marks, Core Publisher, Live Streaming, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Distribution: Connected Platforms, Schedule and stream API, Distribution: NPR One app, MSA > Music Bundle, NPR Music Content, Station Connect API, Distribution Streaming, Springboard Donation Forms, Distribution: NPR.org and apps, Exact Target Email Marketing, NPR Music Video Platform, NPR Music Training, Distribution: iTunes Radio",1,1,1
KCFR-FM,39.583579,-104.857137,14455062,7,"Analytics, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, Coaching & Development Conference, Distribution: NPR One app, Distribution: iTunes Radio",0,0,0
KUNR-FM,39.544587,-119.816732,1465770,24,"Story API, NPR News Content & Marks, Live Streaming, Composer 2, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, Coaching & Development Conference, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Distribution Streaming, NPR Music Training, Schedule and stream API, Distribution: Connected Platforms, Distribution: NPR One app, NPR Music Content, Exact Target Email Marketing, Station Connect API, NPR Music Video Platform, MSA > Music Bundle, Distribution: NPR.org and apps, Springboard Donation Forms, Distribution: iTunes Radio",0,0,1
WTMD-FM,39.407567,-76.635495,1104566,4,"Analytics, Quick Pledge, Analytics Service: Triton Webcast Metrics, Sound Exchange Reporting",0,0,0
WEAA-FM,39.361433,-76.589277,1571711,9,"Analytics Service: Google Premium, Analytics Service: Triton Webcast Metrics, Composer 2, Composer Pro, Sound Exchange Reporting, Analytics, Analytics Service: Chartbeat, Core Publisher, Springboard Donation Forms",1,1,1
WYPR-FM,39.332213,-76.600833,4907035,11,"Analytics, Composer Pro, Events, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Conference, Core Publisher, Quick Pledge, Pulse, Springboard Donation Forms",1,1,1
WOUB-AM,39.322184,-82.106068,182151,1,Analytics Service: Triton Webcast Metrics,0,0,0
WOUB-FM,39.322184,-82.106068,1504430,28,"MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Live Streaming, Composer Pro, Events, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, Coaching & Development Conference, Sound Exchange Reporting, NPR Music Video Platform, NPR Music Training, Schedule and stream API, MSA > Music Bundle, Distribution: Connected Platforms, NPR Music Content, Distribution Streaming, Distribution: NPR One app, Distribution: NPR.org and apps, Exact Target Email Marketing, Station Connect API, Distribution: iTunes Radio, Springboard Donation Forms",1,1,1
KDNK-FM,39.216565,-107.242998,455936,3,"Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars",0,0,0
WDDE-FM,39.208135,-75.457778,716914,3,"Live Streaming, Analytics Service: Triton Webcast Metrics, Distribution: iTunes Radio",0,0,0
WFIU-FM,39.171427,-86.518602,2151798,5,"Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Distribution: iTunes Radio",0,0,0
WVXU-FM,39.117282,-84.530083,4154546,11,"Composer Pro, Events, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Distribution: iTunes Radio",1,1,0
KAJX-FM,39.111632,-106.865039,1102903,29,"Live Streaming, Composer Pro, Events, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Analytics Service: Google Premium, Analytics, Core Publisher, Story API, MSA > News Bundle, NPR News Content & Marks, Sound Exchange Reporting, Analytics Service: Chartbeat, Distribution: iTunes Radio, Springboard Donation Forms, NPR Music Training, NPR Music Video Platform, Distribution Streaming, Distribution: NPR One app, NPR Music Content, Schedule and stream API, Distribution: NPR.org and apps, Exact Target Email Marketing, MSA > Music Bundle, Distribution: Connected Platforms, Station Connect API",1,1,1
KZYX-FM,39.10287,-123.505602,607844,7,"Analytics, Live Streaming, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars",0,0,0
KCUR-FM,39.036255,-94.575339,3829963,19,"Story API, MSA > News Bundle, NPR News Content & Marks, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Pulse, Live Streaming, Analytics Service: Google Premium, Composer Pro, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Distribution: iTunes Radio, Distribution: NPR One app",1,1,0
WNKU-FM,39.035091,-84.454048,1644622,11,"Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Analytics Service: Google Premium, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Analytics, Composer Pro, Events",1,1,0
KANU-FM,39.017668,-95.205791,3849413,3,"Analytics Service: Google Premium, Sound Exchange Reporting, Coaching & Development Webinars",0,0,0
WAMU-FM,38.937481,-77.085226,20324283,15,"Analytics, Analytics Service: Chartbeat, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Google Premium, Core Publisher, Live Streaming, Composer 2, Coaching & Development Conference, Distribution: iTunes Radio, Distribution: NPR One app",1,0,0
KBIA-FM,38.933139,-92.373804,1392518,18,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Pulse, Live Streaming, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer Pro, Events, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Story API, MSA > News Bundle, NPR News Content & Marks, Sound Exchange Reporting, Distribution: iTunes Radio",1,1,0
KVNF-FM,38.906542,-107.550515,385705,11,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars",1,1,0
KRCC-FM,38.841342,-104.816278,1902049,17,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Distribution: iTunes Radio, MSA > News Bundle, Story API, NPR News Content & Marks, Coaching & Development Webinars, Coaching & Development Conference",1,1,0
WETA-FM,38.838246,-77.093858,6537290,1,Coaching & Development Webinars,0,0,0
WSIE-FM,38.79282,-89.99533,0,4,"Analytics, Live Streaming, Analytics Service: Triton Webcast Metrics, Composer 2",0,0,0
KWMU-FM,38.647459,-90.25731,7239163,19,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Pulse, Composer Pro, Events, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, MSA > News Bundle, Story API, NPR News Content & Marks, Live Streaming, Sound Exchange Reporting, Distribution: iTunes Radio, Distribution: NPR One app",1,1,0
KXJZ-FM,38.549963,-121.388467,6777758,8,"Analytics Service: Google Premium, Analytics, Composer Pro, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, Coaching & Development Conference, Events, Sound Exchange Reporting",0,1,0
KXPR-FM,38.549963,-121.388467,3291863,1,Analytics Service: Triton Webcast Metrics,0,0,0
WMRA-FM,38.40499,-78.872234,1422190,10,"Composer 2, Coaching & Development Webinars, Analytics, Analytics Service: Chartbeat, Core Publisher, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Google Premium, Distribution: iTunes Radio",1,1,0
WSCL-FM,38.372823,-75.593515,890333,16,"Coaching & Development Webinars, Coaching & Development Conference, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Events, Pulse, Live Streaming, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer Pro, Mobile Site, Composer 2, Springboard Donation Forms",1,1,1
WVPB-FM,38.351711,-81.633647,3138015,26,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Analytics Service: Triton Webcast Metrics, Springboard Donation Forms, Distribution: Connected Platforms, Distribution Streaming, NPR Music Training, NPR Music Content, Schedule and stream API, Distribution: NPR.org and apps, NPR Music Video Platform, Exact Target Email Marketing, MSA > Music Bundle, Station Connect API, Story API, MSA > News Bundle, NPR News Content & Marks, Live Streaming, Sound Exchange Reporting, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Distribution: iTunes Radio, Distribution: NPR One app",1,0,1
KRCB-FM,38.343782,-122.701195,348832,29,"MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Live Streaming, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Distribution: NPR.org and apps, NPR Music Video Platform, Station Connect API, Exact Target Email Marketing, Distribution: NPR One app, Schedule and stream API, Distribution: Connected Platforms, MSA > Music Bundle, NPR Music Content, NPR Music Training, Distribution Streaming, Distribution: iTunes Radio, Springboard Donation Forms",1,1,1
WMKY-FM,38.256362,-83.378939,762775,10,"Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Events",1,0,0
WFPL-FM,38.255693,-85.751283,1880247,29,"Coaching & Development Conference, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Composer Pro, Events, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, NPR Music Video Platform, Distribution: NPR.org and apps, Springboard Donation Forms, Schedule and stream API, Station Connect API, Distribution: NPR One app, Distribution: Connected Platforms, Distribution Streaming, NPR Music Content, NPR Music Training, Exact Target Email Marketing, MSA > Music Bundle, Story API, MSA > News Bundle, NPR News Content & Marks, Live Streaming, Sound Exchange Reporting, Distribution: iTunes Radio",1,1,1
WESM-FM,38.216912,-75.737149,512343,17,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Pulse, Live Streaming, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Coaching & Development Webinars, Coaching & Development Conference, Composer 2, Distribution: iTunes Radio, Springboard Donation Forms",1,1,1
KANZ-FM,38.079242,-100.709787,1195114,13,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Live Streaming, Composer Pro, Events, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Springboard Donation Forms",1,1,1
WNRN-FM,38.033595,-78.588795,520591,1,MSA > Music Bundle,0,0,0
WUKY-FM,38.019614,-84.499449,1336472,10,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Composer Pro, Events, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars",1,1,0
WNIN-FM,37.973424,-87.575423,464750,25,"MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Live Streaming, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, Coaching & Development Conference, NPR Music Content, NPR Music Training, Distribution: NPR.org and apps, Distribution: Connected Platforms, NPR Music Video Platform, Schedule and stream API, Distribution Streaming, Springboard Donation Forms, Distribution: NPR One app, Station Connect API, MSA > Music Bundle, Exact Target Email Marketing, Distribution: iTunes Radio, Composer 2",0,0,1
KMST-FM,37.838794,-91.714958,856398,2,"Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars",0,0,0
WEKU-FM,37.799041,-84.312126,1448134,13,"Live Streaming, Composer Pro, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Springboard Donation Forms",1,1,1
KQED-FM,37.748582,-122.418411,32582010,16,"Analytics Service: Google Premium, Analytics, Composer Pro, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Distribution: iTunes Radio, Distribution: NPR One app",0,1,0
WSIU-FM,37.727775,-89.214839,1531216,19,"MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Distribution: iTunes Radio, Distribution: NPR One app, Springboard Donation Forms",1,1,1
KALW-FM,37.720204,-122.409915,2464116,14,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Distribution: iTunes Radio, Springboard Donation Forms",1,1,1
KMUW-FM,37.701103,-97.276076,2013261,28,"Story API, MSA > News Bundle, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Composer Pro, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, NPR Music Video Platform, NPR Music Training, MSA > Music Bundle, NPR Music Content, Distribution Streaming, Exact Target Email Marketing, Schedule and stream API, Springboard Donation Forms, Distribution: Connected Platforms, Distribution: NPR.org and apps, Station Connect API, Distribution: NPR One app, Distribution: iTunes Radio",1,1,1
KCSM-FM,37.524597,-122.339094,2020719,3,"Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars",0,0,0
WCVE-FM,37.521339,-77.573405,2973531,6,"Analytics Service: Triton Webcast Metrics, Composer 2, Analytics, Live Streaming, Sound Exchange Reporting, Distribution: iTunes Radio",0,0,0
KSJD-FM,37.343787,-108.760096,457763,10,"Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars",1,1,0
KRCU-FM,37.306783,-89.524758,695056,10,"Composer Pro, Events, Mobile Site, Composer 2, Coaching & Development Webinars, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Springboard Donation Forms",1,1,1
